Token_ID	Text_Pointer	Token	Tag	Annotation_ID	Multi_Token_Annotation
0	0	I	O	none	0
1	1	\n	O	none	0
2	2	Forasteros	O	none	0
3	13	en	B-Posicionamiento	8592050E-937C-405F-A16B-72ABF729435C	1
4	16	el	O	none	0
5	19	valle	B-Lugar-Contenedor	EF170FE9-9777-471A-9FAE-AC02E49CE839	1
6	24	\n	O	none	0
7	25	Dos	B-Dimensionamiento-Cantitad	827494A6-7FD0-4ECF-8D77-D1522A8373C1	1
8	29	viajeros	O	none	0
9	37	,	O	none	0
10	39	un	O	none	0
11	42	hombre	O	none	0
12	49	y	O	none	0
13	51	una	O	none	0
14	55	mujer	O	none	0
15	60	,	O	none	0
16	62	indígenas	O	none	0
17	72	a	O	none	0
18	74	juzgar	O	none	0
19	81	por	O	none	0
20	85	su	O	none	0
21	88	aspecto	O	none	0
22	96	y	O	none	0
23	98	traje	O	none	0
24	103	,	O	none	0
25	104	\n               	O	none	0
26	120	cruzaban	B-Movimiento-Sujeto	FA366FA5-E258-4311-89AE-29026D40C6EE	1
27	129	al	O	none	0
28	132	caer	B-Movimiento-ALT	03FF9C25-2AEF-4868-BB71-8ACE624DF016	1
29	137	la	O	none	0
30	140	tarde	O	none	0
31	146	de	O	none	0
32	149	un	O	none	0
33	152	tibio	O	none	0
34	158	día	O	none	0
35	162	de	O	none	0
36	165	mayo	O	none	0
37	170	de	O	none	0
38	173	1656	O	none	0
39	177	,	O	none	0
40	179	el	O	none	0
41	182	amplio	B-Dimensionamiento-Tamaño	21B55BA8-E551-4308-963A-E2445E5C94D2	1
42	189	valle	B-Lugar-Contenedor	8CDB1279-B7AE-4AA9-B6AB-ED29DBF65A9B	1
43	195	de	B-Posicionamiento	04C1098A-67A7-4545-BA39-9DEAA0C43B02	1
44	197	\n               	O	none	0
45	213	Catamarca	B-Lugar-Contenedor	A252D390-854C-45B1-9FC8-4371988DC261	1
46	222	:	O	none	0
47	224	el	O	none	0
48	227	sol	B-Lugar-Objeto	FECE1390-910E-4C91-A16B-E35D819C1A3A	1
49	231	iba	O	none	0
50	235	a	O	none	0
51	237	ponerse	B-Movimiento-Objeto	A5749F3C-3B21-4BF3-9E60-07C6A0AE6CF6	1
52	245	tras	B-Posicionamiento	D267E124-CC14-4AAA-9DCF-48E2507FBC83	1
53	250	del	O	none	0
54	254	Ambato	B-Lugar-Contenedor-CM	C465E23E-EB3B-4B42-9FDF-B34995A45938	1
55	260	,	O	none	0
56	262	los	O	none	0
57	266	viajeros	O	none	0
58	275	parecían	O	none	0
59	284	rendidos	O	none	0
60	293	por	O	none	0
61	296	\n               	O	none	0
62	312	una	O	none	0
63	316	larga	B-Dimensionamiento-ALT	486BF314-B5D4-48DE-80B8-277751CEEC80	1
64	322	jornada	O	none	0
65	329	,	O	none	0
66	331	y	O	none	0
67	333	cerca	B-Dimensionamiento-Distancia	502FB86E-E754-4C72-8D6D-77C5A5C0C705	1
68	339	no	O	none	0
69	342	se	O	none	0
70	345	veía	B-Movimiento-Luz	A119ED59-4A69-46D8-9643-65A062E344B9	1
71	350	habitación	B-Lugar-Contenedor	10EA16A5-BE01-49C5-BAB8-71254124D54B	1
72	361	alguna	O	none	0
73	367	.	O	none	0
74	368	\n	O	none	0
75	369	—	O	none	0
76	370	Aquí	O	none	0
77	375	podíamos	O	none	0
78	384	quedarnos	B-Movimiento-Sujeto	E1047650-A708-4DBF-99BB-CC34E46D69FF	1
79	394	—	O	none	0
80	395	dijo	B-Movimiento-Sonido	DAA0B4A8-964D-45B6-9EA0-3E7B5A73CF05	1
81	400	el	O	none	0
82	403	hombre	O	none	0
83	410	en	O	none	0
84	413	castellano	O	none	0
85	423	,	O	none	0
86	425	señalando	B-Movimiento-Sujeto	BA6001D7-2A22-42D4-9E46-D0928BED81FA	1
87	435	un	O	none	0
88	437	\n               	O	none	0
89	453	alto	B-Dimensionamiento-Tamaño	C7AB7C36-4AB4-4165-9F9B-D10A6A65820B	1
90	458	paaj	O	none	0
91	463	puca	O	none	0
92	468	(	O	none	0
93	469	quebracho	O	none	0
94	479	colorado	O	none	0
95	487	)	O	none	0
96	488	,	O	none	0
97	490	que	O	none	0
98	494	sobresalía	O	none	0
99	505	en	B-Posicionamiento	7C52AFEB-36DC-4F02-AD81-923D0DFBB105	1
100	508	un	O	none	0
101	510	\n               	O	none	0
102	526	bosquecillo	B-Lugar-Contenedor	84A2B245-61F9-49D5-9C8E-3C0871D1709F	1
103	538	de	O	none	0
104	541	algarrobos	O	none	0
105	551	,	O	none	0
106	553	vinales	O	none	0
107	561	y	O	none	0
108	563	mistoles	O	none	0
109	571	,	O	none	0
110	573	entretejidos	O	none	0
111	586	de	O	none	0
112	589	enredaderas	O	none	0
113	600	.	O	none	0
114	601	\n	O	none	0
115	602	—	O	none	0
116	603	Como	O	none	0
117	608	te	O	none	0
118	611	parezca	O	none	0
119	619	—	O	none	0
120	620	contestó	B-Movimiento-Sonido	91167603-AAB0-4B3B-84A2-43D024E9A054	1
121	629	la	O	none	0
122	632	mujer	O	none	0
123	637	,	O	none	0
124	639	que	O	none	0
125	643	tenía	O	none	0
126	649	marcado	O	none	0
127	657	acento	O	none	0
128	664	quichua	O	none	0
129	671	,	O	none	0
130	672	\n               	O	none	0
131	688	así	O	none	0
132	692	como	O	none	0
133	697	andaluz	O	none	0
134	705	su	O	none	0
135	708	compañero	O	none	0
136	717	.	O	none	0
137	718	\n	O	none	0
138	719	Depositó	B-Movimiento-Sujeto	676FE117-7491-4CEA-BE35-530188D1C845	1
139	728	bajo	B-Posicionamiento	21D69CE8-C9C7-4901-94EF-8BC2C24B0C80	1
140	733	el	O	none	0
141	736	árbol	B-Lugar-Contenedor-CM	5BB22019-6A5A-4BD1-971E-F71061837B78	1
142	742	las	O	none	0
143	746	alforjas	O	none	0
144	755	de	O	none	0
145	758	lana	O	none	0
146	763	de	O	none	0
147	766	colores	O	none	0
148	774	que	O	none	0
149	778	llevaba	B-Movimiento-ALT	E084627B-49E8-491B-A690-E8CA1B067141	1
150	785	,	O	none	0
151	787	y	O	none	0
152	789	haciendo	B-Movimiento-ALT	D4347337-C72C-4A06-8C3E-6BCCA9769B6A	1
153	798	en	O	none	0
154	800	\n               	O	none	0
155	816	seguida	O	none	0
156	824	un	O	none	0
